image_path,fruit,cluster_id,assigned_grade,boundary_score,label
dataset\train\freshapples\saltandpepper_Screen Shot 2018-06-08 at 5.21.44 PM.png,apple,1,B,0.9951,apple_B
dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.33.33 PM.png,apple,0,C,0.9947,apple_C
dataset\train\freshapples\Screen Shot 2018-06-08 at 5.15.21 PM.png,apple,1,B,0.9944,apple_B
dataset\test\freshapples\vertical_flip_Screen Shot 2018-06-08 at 5.15.21 PM.png,apple,1,B,0.9944,apple_B
dataset\test\freshapples\translation_Screen Shot 2018-06-08 at 5.20.51 PM.png,apple,0,C,0.9934,apple_C
dataset\train\freshapples\translation_Screen Shot 2018-06-08 at 5.23.51 PM.png,apple,0,C,0.9903,apple_C
dataset\train\freshapples\rotated_by_75_Screen Shot 2018-06-08 at 5.33.33 PM.png,apple,2,A,0.9895,apple_A
dataset\train\freshapples\rotated_by_45_Screen Shot 2018-06-08 at 5.23.51 PM.png,apple,0,C,0.9877,apple_C
dataset\test\freshapples\rotated_by_60_Screen Shot 2018-06-08 at 5.20.51 PM.png,apple,0,C,0.9871,apple_C
dataset\train\freshapples\translation_Screen Shot 2018-06-08 at 5.05.12 PM.png,apple,0,C,0.9867,apple_C
dataset\test\freshapples\rotated_by_30_Screen Shot 2018-06-08 at 5.23.51 PM.png,apple,0,C,0.9845,apple_C
dataset\train\freshapples\rotated_by_45_Screen Shot 2018-06-08 at 5.01.34 PM.png,apple,2,A,0.9843,apple_A
dataset\test\freshapples\saltandpepper_Screen Shot 2018-06-08 at 5.22.48 PM.png,apple,2,A,0.9843,apple_A
dataset\test\freshapples\saltandpepper_Screen Shot 2018-06-08 at 5.08.05 PM.png,apple,1,B,0.9842,apple_B
dataset\train\freshapples\rotated_by_45_Screen Shot 2018-06-08 at 5.33.18 PM.png,apple,2,A,0.9835,apple_A
dataset\train\freshapples\vertical_flip_Screen Shot 2018-06-08 at 5.22.48 PM.png,apple,2,A,0.9832,apple_A
dataset\train\freshapples\Screen Shot 2018-06-08 at 5.22.48 PM.png,apple,2,A,0.9832,apple_A
dataset\train\freshapples\rotated_by_45_Screen Shot 2018-06-08 at 5.25.33 PM.png,apple,2,A,0.9829,apple_A
dataset\train\freshapples\rotated_by_45_Screen Shot 2018-06-08 at 5.16.16 PM.png,apple,0,C,0.9823,apple_C
dataset\train\freshapples\rotated_by_60_Screen Shot 2018-06-08 at 5.23.51 PM.png,apple,0,C,0.9816,apple_C
dataset\train\freshapples\rotated_by_60_Screen Shot 2018-06-08 at 5.33.18 PM.png,apple,2,A,0.9815,apple_A
dataset\train\freshapples\translation_Screen Shot 2018-06-08 at 5.27.54 PM.png,apple,0,C,0.9806,apple_C
dataset\train\freshapples\saltandpepper_Screen Shot 2018-06-08 at 5.17.58 PM.png,apple,1,B,0.9796,apple_B
dataset\test\freshapples\saltandpepper_Screen Shot 2018-06-08 at 5.15.21 PM.png,apple,0,C,0.9787,apple_C
dataset\test\freshapples\rotated_by_30_Screen Shot 2018-06-08 at 5.16.16 PM.png,apple,2,A,0.9785,apple_A
dataset\train\freshapples\rotated_by_30_Screen Shot 2018-06-08 at 5.33.18 PM.png,apple,2,A,0.9768,apple_A
dataset\train\freshapples\translation_Screen Shot 2018-06-08 at 5.28.32 PM.png,apple,2,A,0.9767,apple_A
dataset\test\freshapples\rotated_by_60_Screen Shot 2018-06-08 at 5.16.16 PM.png,apple,2,A,0.9755,apple_A
dataset\train\freshapples\Screen Shot 2018-06-08 at 5.12.20 PM.png,apple,1,B,0.9748,apple_B
dataset\train\freshapples\vertical_flip_Screen Shot 2018-06-08 at 5.12.20 PM.png,apple,1,B,0.9748,apple_B
dataset\train\freshapples\rotated_by_75_Screen Shot 2018-06-08 at 5.23.51 PM.png,apple,0,C,0.9742,apple_C
dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.23.51 PM.png,apple,0,C,0.9739,apple_C
dataset\train\freshapples\rotated_by_75_Screen Shot 2018-06-08 at 5.33.18 PM.png,apple,2,A,0.9729,apple_A
dataset\train\freshapples\rotated_by_45_Screen Shot 2018-06-08 at 5.25.02 PM.png,apple,2,A,0.9727,apple_A
dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.34.01 PM.png,apple,0,C,0.9714,apple_C
dataset\train\freshapples\saltandpepper_Screen Shot 2018-06-08 at 5.00.35 PM.png,apple,1,B,0.97,apple_B
dataset\train\freshapples\rotated_by_45_Screen Shot 2018-06-08 at 5.13.31 PM.png,apple,0,C,0.9685,apple_C
dataset\train\freshapples\rotated_by_30_Screen Shot 2018-06-08 at 5.13.31 PM.png,apple,2,A,0.9682,apple_A
dataset\test\freshapples\rotated_by_75_Screen Shot 2018-06-08 at 5.12.56 PM.png,apple,0,C,0.9678,apple_C
dataset\train\freshapples\vertical_flip_Screen Shot 2018-06-08 at 5.23.51 PM.png,apple,0,C,0.9676,apple_C
dataset\train\freshapples\Screen Shot 2018-06-08 at 5.23.51 PM.png,apple,0,C,0.9675,apple_C
dataset\train\freshapples\translation_Screen Shot 2018-06-08 at 5.28.15 PM.png,apple,0,C,0.9657,apple_C
dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.33.18 PM.png,apple,2,A,0.965,apple_A
