image_path,fruit,cluster_id,grade,label
dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 4.59.36 PM.png,apple,0,C,apple_C
dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 4.59.44 PM.png,apple,2,A,apple_A
dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 4.59.57 PM.png,apple,0,C,apple_C
dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.00.03 PM.png,apple,0,C,apple_C
dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.00.12 PM.png,apple,0,C,apple_C
dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.00.18 PM.png,apple,0,C,apple_C
dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.00.26 PM.png,apple,2,A,apple_A
dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.00.50 PM.png,apple,2,A,apple_A
dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.01.08 PM.png,apple,0,C,apple_C
dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.01.15 PM.png,apple,2,A,apple_A
dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.01.22 PM.png,apple,0,C,apple_C
dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.01.29 PM.png,apple,0,C,apple_C
dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.01.34 PM.png,apple,2,A,apple_A
dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.01.41 PM.png,apple,0,C,apple_C
dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.02.24 PM.png,apple,2,A,apple_A
dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.02.31 PM.png,apple,0,C,apple_C
dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.02.38 PM.png,apple,2,A,apple_A
dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.02.43 PM.png,apple,2,A,apple_A
dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.02.48 PM.png,apple,2,A,apple_A
dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.03.05 PM.png,apple,2,A,apple_A
dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.03.10 PM.png,apple,2,A,apple_A
dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.03.17 PM.png,apple,0,C,apple_C
dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.03.26 PM.png,apple,2,A,apple_A
dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.03.34 PM.png,apple,2,A,apple_A
